lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
CTBP1-AS	SIN3A	RNA-Protein	Binding	Homo sapiens	CTBP1-AS binds to HDAC-Sin3A complex and orchestrates the HDAC-mediated repression by chroma- tion modification at the CTBP1 promoter in the AR-dependent cell system	prostate	NULL	RIP	23644382
CYP4A22-AS1	MED12	RNA-Protein	Binding	Homo sapiens	while such mutations in MED12 do not affect its association with other Mediator subunits, they significantly diminish its association with ncRNA-a1 and ncRNA-a3 as measured by UV-RIP	NULL	development of FG syndrome	UV-RIP	23417068
DACOR1	DNMT1	RNA-Protein	Binding	Homo sapiens	Using RIP-seq, we identified a subset of lncRNAs that interact with the DNA methyltransferase DNMT1 in a colon cancer cell line, HCT116	-	-	RIP-seq	26307088
DALIR	DNMT1	RNA-Protein	Binding	Homo sapiens	Human DALI was also found, using UV-RIP, to interact with human DNMT1	neuronal tissues	NULL	UV-RIP	25415054
Dalir	Pou3f3	RNA-TF	Binding	Mus musculus	Dali and POU3F3 protein may interact physically	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dalir	Gatad2b	RNA-TF	Binding	Mus musculus	Direct interactions between the endogenous Dali transcript and four of these candidate binding proteins	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dalir	Dnmt1	RNA-Protein	Binding	Mus musculus	both human and mouse Dali associate with DNMT1	neuronal tissues	NULL	UV-RIP	25415054
Dalir	Sin3a	RNA-Protein	Binding	Mus musculus	Direct interactions between the endogenous Dali transcriptand four of these candidate binding proteins	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
Dalir	Smarca4	RNA-Protein	Binding	Mus musculus	Direct interactions between the endogenous Dali transcriptand four of these candidate binding proteins	neuronal tissues	NULL	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054
DANCR	EZH2	RNA-Protein	Binding	Homo sapiens	ANCR is associated with enhancer of zeste homolog 2 (EZH2) and that this association results in the inhibition of both Runx2 expression and subsequent osteoblast differentiation.	NULL	regulates osteoblast differentiation	RIP	23438432
DANCR	MAF	RNA-DNA	Regulation	Homo sapiens	ANCR and TINCR lncRNAs Are Upstream Regulators of MAF:MAFB. ANCR depletion in progenitor keratinocyte populations highly upregulated MAF:MAFB mRNA	NULL	The anti-differentiation lncRNA, ANCR, promotes progenitor maintenance	ChIP and ChIP-Seq Analysis	25805135
DANCR	MAFB	RNA-DNA	Regulation	Homo sapiens	ANCR and TINCR lncRNAs Are Upstream Regulators of MAF:MAFB. ANCR depletion in progenitor keratinocyte populations highly upregulated MAF:MAFB mRNA	NULL	The anti-differentiation lncRNA, ANCR, promotes progenitor maintenance	ChIP and ChIP-Seq Analysis	25805135
DANCR	MYC	DNA-TF	Binding	Homo sapiens	presence of a MYC binding ChIP-seq peak proximal (+/- 0.5kb) to the lncRNA TSS.	NULL	NULL	ChIP-seq	25587025
DANCR	CTNNB1	RNA-RNA	Regulation	Homo sapiens	DANCR Interacts With CTNNB1 mRNA	hepatocellular carcinoma	promote tumorigenesis and intra-/extrahepatic tumor colonization	in vitro and vivo	25964079
DBET	ASH1L	RNA-TF	Binding	Homo sapiens	DBE-T recruits the Trithorax group protein Ash1L to the FSHD locus, driving histone H3 lysine 36 dimethylation, chromatin remodeling, and 4q35 gene transcription.	NULL	chromatin remodeling	UV-RIP	22541069
Dgcr5	Rest	DNA-TF	Regulation	Mus musculus	DGCR5 is a direct target of REST and downregulated by REST	neural stem cell	NULL	ChIP	19050060
DGCR5	REST	DNA-TF	Regulation	Homo sapiens	DGCR5 is a direct target of REST and downregulated by REST	neural stem cell	NULL	ChIP	19050060
DHRS4-AS1	EHMT2	RNA-Protein	Binding	Homo sapiens	AS1DHRS4 not only mediates deacetylation of histone H3 and demethylation of H3K4 in cis for the DHRS4 gene, but also interacts physically in trans with the epigenetic modifiers H3K9- and H3K27-specific histone methyltransferases G9a and EZH2, targeting the promoters of the downstream DHRS4L2 and DHRS4L1 genes to induce local repressive H3K9me2 and H3K27me3 histone modifications.	human cancer cell lines(HeLa, HL7702 and HepG2 cells), Mouse liver cell line NCTC 1469 was	NULL	RACE, RNAi,RNA-IP and RNA-ChIP assays	22891334
DHRS4-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	AS1DHRS4 not only mediates deacetylation of histone H3 and demethylation of H3K4 in cis for the DHRS4 gene, but also interacts physically in trans with the epigenetic modifiers H3K9- and H3K27-specific histone methyltransferases G9a and EZH2, targeting the promoters of the downstream DHRS4L2 and DHRS4L1 genes to induce local repressive H3K9me2 and H3K27me3 histone modifications.	human cancer cell lines(HeLa, HL7702 and HepG2 cells), Mouse liver cell line NCTC 1469 was	NULL	RACE, RNAi,RNA-IP and RNA-ChIP assays	22891334
DHRS4-AS1	DHRS4L2	RNA-DNA	Regulation	Homo sapiens	AS1DHRS4 not only mediates deacetylation of histone H3 and demethylation of H3K4 in cis for the DHRS4 gene, but also interacts physically in trans with the epigenetic modifiers H3K9- and H3K27-specific histone methyltransferases G9a and EZH2, targeting the promoters of the downstream DHRS4L2 and DHRS4L1 genes to induce local repressive H3K9me2 and H3K27me3 histone modifications.	human cancer cell lines(HeLa, HL7702 and HepG2 cells), Mouse liver cell line NCTC 1469 was	NULL	RACE, RNAi,RNA-IP and RNA-ChIP assays	22891334
DHRS4-AS1	DHRS4L1	RNA-DNA	Regulation	Homo sapiens	AS1DHRS4 not only mediates deacetylation of histone H3 and demethylation of H3K4 in cis for the DHRS4 gene, but also interacts physically in trans with the epigenetic modifiers H3K9- and H3K27-specific histone methyltransferases G9a and EZH2, targeting the promoters of the downstream DHRS4L2 and DHRS4L1 genes to induce local repressive H3K9me2 and H3K27me3 histone modifications.	human cancer cell lines(HeLa, HL7702 and HepG2 cells), Mouse liver cell line NCTC 1469 was	NULL	RACE, RNAi,RNA-IP and RNA-ChIP assays	22891334
DLX6-AS1	DLX2	RNA-TF	Binding	Homo sapiens	Evf-2 specifically cooperates with Dlx-2 to increase the transcriptional activity of the Dlx-5/6 enhancer in a target and homeodomain-specific manner.	NULL	NULL	in vivo	16705037
Dlx6os1	Dlx1	RNA-TF	Binding	Mus musculus	Evf2 recruited DLX and MECP2 transcription factors to important DNA Regulation elements in the Dlx5/6 intergenic region and controlled Dlx5, Dlx6 and Gad1 expression through trans and cis-acting mechanisms.	NULL	Loss of Evf2 affects DLX and MECP2 binding to Dlx 5/6 intergenic enhancers	RIP	19620975
Dlx6os1	Dlx2	RNA-TF	Binding	Mus musculus	Evf2 recruited DLX and MECP2 transcription factors to important DNA Regulation elements in the Dlx5/6 intergenic region and controlled Dlx5, Dlx6 and Gad1 expression through trans and cis-acting mechanisms.	NULL	Loss of Evf2 affects DLX and MECP2 binding to Dlx 5/6 intergenic enhancers	RIP	19620975
Dlx6os1	Mecp2	RNA-TF	Binding	Mus musculus	Evf2 recruited DLX and MECP2 transcription factors to important DNA Regulation elements in the Dlx5/6 intergenic region and controlled Dlx5, Dlx6 and Gad1 expression through trans and cis-acting mechanisms.	orebrain	Loss of Evf2 affects DLX and MECP2 binding to Dlx 5/6 intergenic enhancers	RIP	19620975
Dlx6os1	Dlx2	RNA-TF	Binding	Mus musculus	Evf-2 and Dlx-2 form a complex in vivo	NULL	NULL	RIP	16705037
Dlx6os1	Smarca4	RNA-Protein	Binding	Mus musculus	While BRG1 directly interacts with DLX1 and Evf2 through distinct binding sites, Evf2 directly inhibits BRG1 ATPase and chromatin remodeling activities.	NULL	NULL	Fluorescent RNA in situ hybridization and immunolocalization (FISH/immuno), followed by confocal mic	26138476
DRAIC	AR	DNA-TF	Binding	Homo sapiens	AR is recruited to DRAIC promoter and required for the repression of DRAIC.	LNCap cells	DRAIC promotes cell proliferation but inhibits cell migration and invasion	ChIP-PCR	25700553
DRAIC	FOXA1	DNA-TF	Binding	Homo sapiens	The expression of DRAIC is positively regulated by FOXA1 and NKX3-1. FOXA1 and NKX3-1 are recruited to the DRAIC locus to induce DRAIC, and FOXA1 specifically counters the repression of DRAIC by AR. 	LNCap cells	DRAIC promotes cell proliferation but inhibits cell migration and invasion	ChIP-PCR	25700553
DRAIC	NKX3-1	DNA-TF	Binding	Homo sapiens	The expression of DRAIC is positively regulated by FOXA1 and NKX3-1. FOXA1 and NKX3-1 are recruited to the DRAIC locus to induce DRAIC, and FOXA1 specifically counters the repression of DRAIC by AR. 	LNCap cells	DRAIC promotes cell proliferation but inhibits cell migration and invasion	ChIP-PCR	25700553
ecCEBPA	DNMT1	RNA-DNA	Regulation	Homo sapiens	ecCEBPA regulates CEBPA methylation. This RNA (ecCEBPA) interacts with DNMT1, resulting in prevention of CEBPA gene methylation and robust CEBPA mRNA production.	NULL	ecCEBPA inhibits DNA methylation and facilitates CEBPA expression	REMSA	24107992
EGOT	PRG2	RNA-Protein	Regulation	Homo sapiens	EGO RNA silencing decreases EDN and MBP transcript levels	bone marrow	NULL	in vitro	17351112
EGOT	RNASE2	RNA-Protein	Regulation	Homo sapiens	EGO RNA silencing decreases EDN and MBP transcript levels	bone marrow	NULL	in vitro	17351112
ELFN1-AS1	HNRNPK	RNA-Protein	Binding	Homo sapiens	MYCLo-2 is enriched by RIP using hnRNPK antibodies 	NULL	oncogenesis	RIP and RNA pull-down	25663692
ELFN1-AS1	CDKN1A	RNA-DNA	Regulation	Homo sapiens	knockdown of MYCLo-1 or -2 also induced the promoter activities of CDKN1A and/or CDKN2B	NULL	NULL	Luciferase reporter assays 	25663692
ELFN1-AS1	CDKN2B	RNA-DNA	Regulation	Homo sapiens	knockdown of MYCLo-1 or -2 also induced the promoter activities of CDKN1A and/or CDKN2B	NULL	NULL	Luciferase reporter assays 	25663692
ELFN1-AS1	MYC	DNA-TF	Binding	Homo sapiens	Luciferase assays showing MYC-dependent regulation of 5'  promoter activities of MYCLo-1 (L), -2 (M), and -3 (N).  suggesting that the MYC-induced MYCLos are directly regulated by the transcription enhancer MYC at the transcription level.	CRC tissues	NULL	ChIP	25663692
ERICD	E2F1	DNA-TF	Binding	Homo sapiens	knockdown of either E2F1 or E2F3 reduced ERIC levels and endogenous E2F1 binds ERIC's promoter.	U2OS and SAOS-2 osteosarcoma cells	NULL	qRT-PCR, RNAi, CHIP	24168400
EWSAT1	HNRNPK	RNA-Protein	Binding	Homo sapiens	heterogeneous nuclear ribonucleoprotein (HNRNPK) as an RNA-binding protein that interacts with EWSAT1	primary pediatric human mesenchymal progenitor cells (pMPCs)	NULL	RIP	25401475
FALEC	MED12	RNA-Protein	Binding	Homo sapiens	while such mutations in MED12 do not affect its association with other Mediator subunits, they significantly diminish its association with ncRNA-a1 and ncRNA-a3 as measured by UV-RIP	NULL	development of FG syndrome	UV-RIP	23417068
FALEC	BMI1	RNA-Protein	Binding	Homo sapiens	We revealed that FAL1 can interact with the PRC1 core protein, BMI1	ovarian cancer	FAL1 exerts its oncogenic function at least in part via suppressing of p21 expression	RNA pull-down assay and RNA-immunoprecipitation assay (RNA-IP)	25203321
FAS-AS1	FAS	RNA-RNA	Regulation	Homo sapiens	Saf might regulate the expression of Fas alternative splice forms through pre-mRNA processing.	NULL	NULL	In vitro	15829500
FAS-AS1	RBM5	RNA-Protein	Binding	Homo sapiens	FAS-AS1 binding to the RBM5 inhibits RBM5-mediated exon 6 skipping.	B-cell lymphoma	NULL	In Vivo	24811343
Fendrr	Ezh2	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC2 and TrxG/MLL complexes	NULL	NULL	RIP	23369715
Fendrr	Suz12	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC2 and TrxG/MLL complexes	NULL	NULL	RIP	23369715
Fendrr	Wdr5	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC3 and TrxG/MLL complexes	NULL	NULL	RIP	23369715
Fendrr	Foxf1	RNA-DNA	Binding	Mus musculus	In vitro binding assay using synthetic RNA oligonucleotide reaveals that promoter fragments of both Foxf1 and Pitx2 coprecipitated with Fendrr.	NULL	NULL	In vitro RNA/dsDNA binding assay	23369715
Fendrr	Pitx2	RNA-DNA	Binding	Mus musculus	In vitro binding assay using synthetic RNA oligonucleotide reaveals that promoter fragments of both Foxf1 and Pitx2 coprecipitated with Fendrr.	NULL	NULL	In vitro RNA/dsDNA binding assay	23369715
FER1L4	MIR106A	RNA-RNA	Binding	Homo sapiens	the mutations introduced in the seed matches impair the ability of miR-106a-5p to bind to FER1L4	gastric		dual luciferase reporter assay?	25124853
FER1L4	MIR106A	RNA-RNA	Binding	Homo sapiens	interaction between FER1L4 and miR-106a-5p was first predicted by miRcode and then confirmed by dual luciferase reporter assays	-	-	dual luciferase reporter assays	26306906
FIRRE	HNRNPU	RNA-Protein	Binding	Homo sapiens	Firre directly and specifically binds to hnRNPU	interface with and modulate nuclear architecture across chromosomes	NULL	RIP	24463464
Firre	Hnrnpu	RNA-Protein	Binding	Mus musculus	Firre directly and specifically binds to hnRNPU	interface with and modulate nuclear architecture across chromosomes	NULL	RIP	24463464
Firre	Ctcf	DNA-TF	Binding	Mus musculus	CTCF and RAD21 are bound to Firre in female liver (FL) but not in male liver (ML)	female liver	NULL	ChIP-chip	25887447
Firre	Rad21	DNA-Protein	Binding	Mus musculus	CTCF and RAD21 are bound to Firre in female liver (FL) but not in male liver (ML)	female liver	NULL	ChIP-chip	25887447
FOXCUT	FOXC1	RNA-RNA	Regulation	Homo sapiens	the expression of FOXC1 was also decreased as the FOXCUT expression was silenced by siRNA.	esophageal squamous cell carcinoma	promote progression and predict poor prognosis in esophageal squamous cell carcinoma.	qPCR, RNAi etc.	25031703
Ftx	Xist	DNA-DNA	Regulation	Mus musculus	Ftx impacts on gene expression within the Xic and in particular on Xist, as Xist is significantly downregulated in the absence of Ftx. These results identify Ftx as an activator of Xist in ES cells and suggest that Ftx could be a novel ncRNA involved in XCI.	ES cell lines	NULL	RNA-FISH, ChIP and MeDIP assays	21118898
G22	Pabpc1	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
G22	Srp14	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
G22	Srp9	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
G22	PABPC1	RNA-Protein	Binding	Homo sapiens	In vitrobinding studies of BC200 RNA and G22 RNA with PABP	brain	NULL	In vitrobinding studies	17175535
GAPLINC	MIR211	RNA-RNA	Binding	Homo sapiens	GAPLINC regulates CD44 as a molecular decoy for miR211-3p, a microRNA that targets both CD44 and GAPLINC	gastric cancer	GAPLINC overexpression defines a subgroup of patients with gastric cancer with very poor survival	ISH and Luciferase Assay	25277524
GAS5	YBX1	RNA-TF	Binding	Homo sapiens	the YBX1 protein could specifically interact with lncRNA GAS5	stomach cancer	NULL	RIP	25959498
GAS5	MIR21	RNA-RNA	Binding	Homo sapiens	GAS5 contributes to the pathogenesis of OA by acting as a negative regulator of miR-21	osteoarthritis (OA)	regulating cell survival	In vitro RNA/dsDNA binding assay utilizing biotin tagged RNA oligos as bait	25196583
GAS5	MIR21	RNA-RNA	Binding	Homo sapiens	This reciprocal repression of miR-21 and GAS5 may highlight the significance of RNA-RNA interaction involving microRNAs and lncRNAs in tumorigenesis.	NULL	tumor suppressor	In vitro RNA/dsDNA binding assay	23933812
GAS5	ANXA2	RNA-Protein	Regulation	Homo sapiens	RNA pull-down experiment revealed a direct bind of lncRNA-GAS5 to a Ca2+-dependent RNA-binding protein, Annexin A2. 	NULL	the low expression of lncRNA-GAS5 may facilitate HSVSMCs proliferation and migration through Annexin A2.	RNA pull-down	25806802
GAS5	TNFSF10	RNA-Protein	Regulation	Homo sapiens	GAS5-derived small RNA (pi-sno75) specifically upregulates TRAIL expression in breast cancer cells	NULL	NULL	RIP and ChIP assays	25779046
GAS5	AGO2	RNA-Protein	Binding	Homo sapiens	GAS5 RNA interacts with AGO2	NULL	tumor suppressor	RNA immunoprecipitation	23933812
GAS5	NR3C1	DNA-TF	Binding	Homo sapiens	GAS5 interacts with the activated GR suppressing its transcriptional activity.	NULL	NULL	NULL	25601472
GAS5	NR3C1	DNA-TF	Binding	Homo sapiens	Gas5 binds GR DBD through its double-stranded RNA GRE-mimic located at hairpin and competes with DNA GREs for binding to GR DBD in vitro	HeLa cells	NULL	in vitro binding assay	20124551
GAS5	SCTR	DNA-Protein	Binding	Homo sapiens	Another lincRNA, growth arrest-specific 5 (Gas5), uses a region in its 12th exon to interact with and repress the steroid hormone receptors (SRs)	NULL	NULL	in vitro	25377354
GAS5	CDK6	RNA-Protein	Regulation	Homo sapiens	GAS5 Decreases Bladder Cancer Cell Proliferation by Regulating CDK6	bladder cancer cell 	Knockdown of GAS5 promotes bladder cancer cell proliferation	qRT-PCR, RNAi, RIP and RNA Pulldown	24069260
GAS5	CDK6	RNA-Protein	Regulation	Homo sapiens	We further demonstrate that gas5 negatively regulates CDK6 (cyclin-dependent kinase 6) expression in vitro and in vivo. More importantly, knockdown of CDK6 partially abrogates gas5-siRNA-induced cell proliferation.	pancreatic cancer tissues and cells	Overexpression of gas5 in pancreatic cancer cells inhibits cell proliferation	qRT-PCR, RNAi, WB	24026436
GHET1	IGF2BP1	RNA-Protein	Binding	Homo sapiens	GHET1 physically associates with insulin-like growth factor 2 mRNA binding protein 1 (IGF2BP1) and enhances the physical interaction between c-Myc mRNA and IGF2BP1, consequently increasing the stability of c-Myc mRNA and expression.	gastric carcinoma	NULL	RIP	24397586
Mirt2	Lgals3	RNA-Protein	Regulation	Mus musculus	Lgals3, which encodes the lectin galactoside-binding soluble 3, was significantly correlated with MIRT1 and MIRT2. 	NULL	NULL	Microarray and In situ hybridization	24917243
